index,T19_K340D14_OUT,T19_K340D15_OUT,T19_K340D16_IN,T19_K340D17_IN,T19_K340D18_IN,T19_K340D19_IN,T19_K341D12_OUT,T19_K365D14_IN,T19_K540D11_OUT,T19_K540D14_IN,T19_K601D13_IN,T19_K601D14_IN,T19_K601D17_IN,T19_K607D12_IN,T19_K607D16_IN,T19_K610D12_OUT,T19_K610D13_OUT,T19_K611D15_IN,T19_K611D16_IN,T19_K621D15_OUT,T19_K621D16_OUT,T19_K638D11_OUT,T19_K638D12_OUT,T19_K638D13_IN,T19_K638D14_IN,T19_K642D11_OUT,T19_K642D15_IN,T20_K340D14_OUT,T20_K340D15_OUT,T20_K340D16_IN,T20_K340D17_IN,T20_K340D18_IN,T20_K340D19_IN,T20_K341D12_OUT,T20_K365D14_IN,T20_K540D11_OUT,T20_K540D14_IN,T20_K601D13_IN,T20_K601D14_IN,T20_K601D17_IN,T20_K607D12_IN,T20_K607D16_IN,T20_K610D12_OUT,T20_K610D13_OUT,T20_K611D15_IN,T20_K611D16_IN,T20_K621D15_OUT,T20_K621D16_OUT,T20_K638D11_OUT,T20_K638D12_OUT,T20_K638D13_IN,T20_K638D14_IN,T20_K642D11_OUT,T20_K642D15_IN,T21_K340D14_OUT,T21_K340D15_OUT,T21_K340D16_IN,T21_K340D17_IN,T21_K340D18_IN,T21_K340D19_IN,T21_K341D12_OUT,T21_K365D14_IN,T21_K540D11_OUT,T21_K540D14_IN,T21_K601D13_IN,T21_K601D14_IN,T21_K601D17_IN,T21_K607D12_IN,T21_K607D16_IN,T21_K610D12_OUT,T21_K610D13_OUT,T21_K611D15_IN,T21_K611D16_IN,T21_K621D15_OUT,T21_K621D16_OUT,T21_K638D11_OUT,T21_K638D12_OUT,T21_K638D13_IN,T21_K638D14_IN,T21_K642D11_OUT,T21_K642D15_IN,T22_K340D14_OUT,T22_K340D15_OUT,T22_K340D16_IN,T22_K340D17_IN,T22_K340D18_IN,T22_K340D19_IN,T22_K341D12_OUT,T22_K365D14_IN,T22_K540D11_OUT,T22_K540D14_IN,T22_K601D13_IN,T22_K601D14_IN,T22_K601D17_IN,T22_K607D12_IN,T22_K607D16_IN,T22_K610D12_OUT,T22_K610D13_OUT,T22_K611D15_IN,T22_K611D16_IN,T22_K621D15_OUT,T22_K621D16_OUT,T22_K638D11_OUT,T22_K638D12_OUT,T22_K638D13_IN,T22_K638D14_IN,T22_K642D11_OUT,T22_K642D15_IN,T23_K340D14_OUT,T23_K340D15_OUT,T23_K340D16_IN,T23_K340D17_IN,T23_K340D18_IN,T23_K340D19_IN,T23_K341D12_OUT,T23_K365D14_IN,T23_K540D11_OUT,T23_K540D14_IN,T23_K601D13_IN,T23_K601D14_IN,T23_K601D17_IN,T23_K607D12_IN,T23_K607D16_IN,T23_K610D12_OUT,T23_K610D13_OUT,T23_K611D15_IN,T23_K611D16_IN,T23_K621D15_OUT,T23_K621D16_OUT,T23_K638D11_OUT,T23_K638D12_OUT,T23_K638D13_IN,T23_K638D14_IN,T23_K642D11_OUT,T23_K642D15_IN,T24_K340D14_OUT,T24_K340D15_OUT,T24_K340D16_IN,T24_K340D17_IN,T24_K340D18_IN,T24_K340D19_IN,T24_K341D12_OUT,T24_K365D14_IN,T24_K540D11_OUT,T24_K540D14_IN,T24_K601D13_IN,T24_K601D14_IN,T24_K601D17_IN,T24_K607D12_IN,T24_K607D16_IN,T24_K610D12_OUT,T24_K610D13_OUT,T24_K611D15_IN,T24_K611D16_IN,T24_K621D15_OUT,T24_K621D16_OUT,T24_K638D11_OUT,T24_K638D12_OUT,T24_K638D13_IN,T24_K638D14_IN,T24_K642D11_OUT,T24_K642D15_IN,T25_K340D14_OUT,T25_K340D15_OUT,T25_K340D16_IN,T25_K340D17_IN,T25_K340D18_IN,T25_K340D19_IN,T25_K341D12_OUT,T25_K365D14_IN,T25_K540D11_OUT,T25_K540D14_IN,T25_K601D13_IN,T25_K601D14_IN,T25_K601D17_IN,T25_K607D12_IN,T25_K607D16_IN,T25_K610D12_OUT,T25_K610D13_OUT,T25_K611D15_IN,T25_K611D16_IN,T25_K621D15_OUT,T25_K621D16_OUT,T25_K638D11_OUT,T25_K638D12_OUT,T25_K638D13_IN,T25_K638D14_IN,T25_K642D11_OUT,T25_K642D15_IN,T26_K340D14_OUT,T26_K340D15_OUT,T26_K340D16_IN,T26_K340D17_IN,T26_K340D18_IN,T26_K340D19_IN,T26_K341D12_OUT,T26_K365D14_IN,T26_K540D11_OUT,T26_K540D14_IN,T26_K601D13_IN,T26_K601D14_IN,T26_K601D17_IN,T26_K607D12_IN,T26_K607D16_IN,T26_K610D12_OUT,T26_K610D13_OUT,T26_K611D15_IN,T26_K611D16_IN,T26_K621D15_OUT,T26_K621D16_OUT,T26_K638D11_OUT,T26_K638D12_OUT,T26_K638D13_IN,T26_K638D14_IN,T26_K642D11_OUT,T26_K642D15_IN
"T19_K340D14_OUT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T19_K340D15_OUT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T19_K340D16_IN",0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,4,3,0,0,3,7,4,3,0,0,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T19_K340D17_IN",0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,2,2,0,0,2,4,2,2,0,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T19_K340D18_IN",0,0,0,0,0,0,11,0,18,0,0,0,0,0,0,23,18,0,0,19,42,25,17,0,0,21,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T19_K340D19_IN",0,0,0,0,0,0,6,0,10,0,0,0,0,0,0,13,10,0,0,10,23,14,9,0,0,12,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T19_K341D12_OUT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T19_K365D14_IN",16,12,0,0,0,0,0,0,25,0,0,0,0,0,0,32,25,0,0,26,57,35,24,0,0,29,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T19_K540D11_OUT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T19_K540D14_IN",24,18,0,0,0,0,23,0,38,0,0,0,0,0,0,0,0,0,0,0,0,54,36,0,0,45,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
