index,T1_K340D14_OUT,T1_K340D15_OUT,T1_K340D16_IN,T1_K340D17_IN,T1_K340D18_IN,T1_K340D19_IN,T1_K341D12_OUT,T1_K365D14_IN,T1_K540D11_OUT,T1_K540D14_IN,T1_K601D13_IN,T1_K601D14_IN,T1_K601D17_IN,T1_K607D12_IN,T1_K607D16_IN,T1_K610D12_OUT,T1_K610D13_OUT,T1_K611D15_IN,T1_K611D16_IN,T1_K621D15_OUT,T1_K621D16_OUT,T1_K638D11_OUT,T1_K638D12_OUT,T1_K638D13_IN,T1_K638D14_IN,T1_K642D11_OUT,T1_K642D15_IN,T2_K340D14_OUT,T2_K340D15_OUT,T2_K340D16_IN,T2_K340D17_IN,T2_K340D18_IN,T2_K340D19_IN,T2_K341D12_OUT,T2_K365D14_IN,T2_K540D11_OUT,T2_K540D14_IN,T2_K601D13_IN,T2_K601D14_IN,T2_K601D17_IN,T2_K607D12_IN,T2_K607D16_IN,T2_K610D12_OUT,T2_K610D13_OUT,T2_K611D15_IN,T2_K611D16_IN,T2_K621D15_OUT,T2_K621D16_OUT,T2_K638D11_OUT,T2_K638D12_OUT,T2_K638D13_IN,T2_K638D14_IN,T2_K642D11_OUT,T2_K642D15_IN,T3_K340D14_OUT,T3_K340D15_OUT,T3_K340D16_IN,T3_K340D17_IN,T3_K340D18_IN,T3_K340D19_IN,T3_K341D12_OUT,T3_K365D14_IN,T3_K540D11_OUT,T3_K540D14_IN,T3_K601D13_IN,T3_K601D14_IN,T3_K601D17_IN,T3_K607D12_IN,T3_K607D16_IN,T3_K610D12_OUT,T3_K610D13_OUT,T3_K611D15_IN,T3_K611D16_IN,T3_K621D15_OUT,T3_K621D16_OUT,T3_K638D11_OUT,T3_K638D12_OUT,T3_K638D13_IN,T3_K638D14_IN,T3_K642D11_OUT,T3_K642D15_IN,T4_K340D14_OUT,T4_K340D15_OUT,T4_K340D16_IN,T4_K340D17_IN,T4_K340D18_IN,T4_K340D19_IN,T4_K341D12_OUT,T4_K365D14_IN,T4_K540D11_OUT,T4_K540D14_IN,T4_K601D13_IN,T4_K601D14_IN,T4_K601D17_IN,T4_K607D12_IN,T4_K607D16_IN,T4_K610D12_OUT,T4_K610D13_OUT,T4_K611D15_IN,T4_K611D16_IN,T4_K621D15_OUT,T4_K621D16_OUT,T4_K638D11_OUT,T4_K638D12_OUT,T4_K638D13_IN,T4_K638D14_IN,T4_K642D11_OUT,T4_K642D15_IN,T5_K340D14_OUT,T5_K340D15_OUT,T5_K340D16_IN,T5_K340D17_IN,T5_K340D18_IN,T5_K340D19_IN,T5_K341D12_OUT,T5_K365D14_IN,T5_K540D11_OUT,T5_K540D14_IN,T5_K601D13_IN,T5_K601D14_IN,T5_K601D17_IN,T5_K607D12_IN,T5_K607D16_IN,T5_K610D12_OUT,T5_K610D13_OUT,T5_K611D15_IN,T5_K611D16_IN,T5_K621D15_OUT,T5_K621D16_OUT,T5_K638D11_OUT,T5_K638D12_OUT,T5_K638D13_IN,T5_K638D14_IN,T5_K642D11_OUT,T5_K642D15_IN,T6_K340D14_OUT,T6_K340D15_OUT,T6_K340D16_IN,T6_K340D17_IN,T6_K340D18_IN,T6_K340D19_IN,T6_K341D12_OUT,T6_K365D14_IN,T6_K540D11_OUT,T6_K540D14_IN,T6_K601D13_IN,T6_K601D14_IN,T6_K601D17_IN,T6_K607D12_IN,T6_K607D16_IN,T6_K610D12_OUT,T6_K610D13_OUT,T6_K611D15_IN,T6_K611D16_IN,T6_K621D15_OUT,T6_K621D16_OUT,T6_K638D11_OUT,T6_K638D12_OUT,T6_K638D13_IN,T6_K638D14_IN,T6_K642D11_OUT,T6_K642D15_IN,T7_K340D14_OUT,T7_K340D15_OUT,T7_K340D16_IN,T7_K340D17_IN,T7_K340D18_IN,T7_K340D19_IN,T7_K341D12_OUT,T7_K365D14_IN,T7_K540D11_OUT,T7_K540D14_IN,T7_K601D13_IN,T7_K601D14_IN,T7_K601D17_IN,T7_K607D12_IN,T7_K607D16_IN,T7_K610D12_OUT,T7_K610D13_OUT,T7_K611D15_IN,T7_K611D16_IN,T7_K621D15_OUT,T7_K621D16_OUT,T7_K638D11_OUT,T7_K638D12_OUT,T7_K638D13_IN,T7_K638D14_IN,T7_K642D11_OUT,T7_K642D15_IN,T8_K340D14_OUT,T8_K340D15_OUT,T8_K340D16_IN,T8_K340D17_IN,T8_K340D18_IN,T8_K340D19_IN,T8_K341D12_OUT,T8_K365D14_IN,T8_K540D11_OUT,T8_K540D14_IN,T8_K601D13_IN,T8_K601D14_IN,T8_K601D17_IN,T8_K607D12_IN,T8_K607D16_IN,T8_K610D12_OUT,T8_K610D13_OUT,T8_K611D15_IN,T8_K611D16_IN,T8_K621D15_OUT,T8_K621D16_OUT,T8_K638D11_OUT,T8_K638D12_OUT,T8_K638D13_IN,T8_K638D14_IN,T8_K642D11_OUT,T8_K642D15_IN
"T1_K340D14_OUT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T1_K340D15_OUT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T1_K340D16_IN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T1_K340D17_IN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T1_K340D18_IN",0,0,0,0,0,0,2,0,6,0,0,0,0,0,0,6,3,0,0,1,8,11,6,0,0,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T1_K340D19_IN",0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,3,2,0,0,1,5,7,4,0,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T1_K341D12_OUT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T1_K365D14_IN",4,2,0,0,0,0,0,0,11,0,0,0,0,0,0,11,5,0,0,3,16,22,12,0,0,8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T1_K540D11_OUT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T1_K540D14_IN",6,4,0,0,0,0,6,0,17,0,0,0,0,0,0,0,0,0,0,0,0,34,18,0,0,12,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
